"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test one endpoint (one test per endpoint via parametrize ids).","238","test_endpoint[GET__perfil-acesso]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","236","test_endpoint[GET__operador]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Area.","407","Delete Area","tests.area","2026-09-08","failed","2026-09-08","TestDeleteArea","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","229","test_endpoint[GET__objeto-oficial]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Amostragem Grupo Area.","203","Get all Amostragem Grupo Area","tests.amostragem_grupo_area","2026-09-08","passed","2026-09-08","TestGetAllAmostragemGrupoArea","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","514","test_endpoint[GET__video-cast_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","216","test_endpoint[PUT__contrato_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","520","test_endpoint[GET__contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","252","test_endpoint[GET__local-servico]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","201","test_endpoint[POST__suporte_cartilha_upload_pasta]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","252","test_endpoint[GET__avisos]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Contrato by ID.","902","Get Contrato by ID","tests.contrato","2026-09-08","passed","2026-09-08","TestGetContratoById","test_get_by_id","",""
"Test one endpoint (one test per endpoint via parametrize ids).","203","test_endpoint[PUT__local-servico_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","206","test_endpoint[POST__unidade-contratante]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","316","test_endpoint[GET__amostragem-grupo-area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","2262","test_endpoint[GET__amostragem-grupo-area]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","236","test_endpoint[GET__grupo-faturamento_grupoFaturamentoId_faixa-faturamento]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","216","test_endpoint[PUT__contratada-contrato_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","197","test_endpoint[POST__local-servico]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","213","test_endpoint[DELETE__sub-familia_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test updating Contratada Contrato.","206","Update Contratada Contrato","tests.contratada_contrato","2026-09-08","skipped","2026-09-08","TestUpdateContratadaContrato","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","237","test_endpoint[GET__grupo-area_id_checklist]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","204","test_endpoint[PUT__grupo-contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","224","test_endpoint[POST__risco]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","237","test_endpoint[GET__classificacao-colaborador_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","220","test_endpoint[PUT__amostragem-grupo-area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","234","test_endpoint[GET__risco]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","250","test_endpoint[GET__objeto-analise_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","223","test_endpoint[DELETE__avisos_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Classificacao Colaborador.","193","Get all Classificacao Colaborador","tests.classificacao_colaborador","2026-09-08","passed","2026-09-08","TestGetAllClassificacaoColaborador","test_get_all","",""
"Test creating Contratada.","194","Create Contratada","tests.contratada","2026-09-08","failed","2026-09-08","TestCreateContratada","test_create","",""
"Test partial updating Contratada.","395","Patch Contratada","tests.contratada","2026-09-08","failed","2026-09-08","TestPatchContratada","test_patch","",""
"Test one endpoint (one test per endpoint via parametrize ids).","874","test_endpoint[GET__suporte_cartilha]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","214","test_endpoint[DELETE__local-servico_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","200","test_endpoint[PUT__objeto-oficial_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Contratada Contrato.","205","Delete Contratada Contrato","tests.contratada_contrato","2026-09-08","skipped","2026-09-08","TestDeleteContratadaContrato","test_delete","",""
"Test getting all Areas.","212","Get all Areas","tests.area","2026-09-08","passed","2026-09-08","TestGetAllArea","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","214","test_endpoint[DELETE__grupo-faturamento_grupoFaturamentoId_faixa-faturamento_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","191","test_endpoint[PUT__unidade-contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","234","test_endpoint[PUT__grupo-area_id_grupo-faturamento]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","263","test_endpoint[GET__avisos_meus-avisos]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","421","test_endpoint[POST__contratante]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","208","test_endpoint[DELETE__objeto-oficial_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","246","test_endpoint[GET__unidade-contratante]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","263","test_endpoint[GET__contratante]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","176","test_endpoint[PUT__contratante_id_familia]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","226","test_endpoint[POST__contratada]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","175","test_endpoint[POST__video-cast_callback]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","204","test_endpoint[POST__operador]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","224","test_endpoint[POST__operador_vinculo]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","341","test_endpoint[DELETE__area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","204","test_endpoint[PUT__grupo-area_id_calendario]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Avisos do Operador Autenticado.","203","Get Avisos do Operador Autenticado","tests.avisos","2026-09-08","failed","2026-09-08","TestGetMeusAvisos","test_get_meus_avisos","",""
"Test creating Area.","204","Create Area","tests.area","2026-09-08","failed","2026-09-08","TestCreateArea","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","230","test_endpoint[GET__grupo-faturamento_grupoFaturamentoId_faixa-faturamento_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","215","test_endpoint[DELETE__familia_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Contratantes.","210","Get all Contratantes","tests.contratante","2026-09-08","passed","2026-09-08","TestGetAllContratante","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","235","test_endpoint[GET__grupo-area]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Aviso.","204","Delete Aviso","tests.avisos","2026-09-08","skipped","2026-09-08","TestDeleteAvisos","test_delete","",""
"Test getting all Contratada Contrato.","206","Get all Contratada Contrato","tests.contratada_contrato","2026-09-08","skipped","2026-09-08","TestGetAllContratadaContrato","test_get_all","",""
"Test creating Contratante.","196","Create Contratante","tests.contratante","2026-09-08","failed","2026-09-08","TestCreateContratante","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","521","test_endpoint[DELETE__objeto-analise_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","290","test_endpoint[GET__contratada-contrato_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","199","test_endpoint[PUT__avisos_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Classificacao Colaborador by ID.","417","Get Classificacao Colaborador by ID","tests.classificacao_colaborador","2026-09-08","passed","2026-09-08","TestGetClassificacaoColaboradorById","test_get_by_id","",""
"Test updating Aviso.","194","Update Aviso","tests.avisos","2026-09-08","skipped","2026-09-08","TestUpdateAvisos","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","280","test_endpoint[GET__area]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","238","test_endpoint[DELETE__unidade-contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","216","test_endpoint[POST__familia]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","176","test_endpoint[GET__contratante_id_grupo-area_grupo-area-id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","203","test_endpoint[PUT__classificacao-colaborador_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","602","test_endpoint[DELETE__objeto-analise-tipo-especifico_id]","tests","2026-09-08","failed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","210","test_endpoint[POST__grupo-faturamento]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","213","test_endpoint[POST__grupo-area]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Contratante.","781","Delete Contratante","tests.contratante","2026-09-08","failed","2026-09-08","TestDeleteContratante","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","292","test_endpoint[GET__contratada]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","193","test_endpoint[POST__grupo-contratante]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test updating Familia IDs atrelados a Contratante.","382","Update Familia IDs atrelados a Contratante","tests.contratante","2026-09-08","failed","2026-09-08","TestUpdateContratanteFamilia","test_update_familia","",""
"Test one endpoint (one test per endpoint via parametrize ids).","274","test_endpoint[POST__area]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Contrato.","445","Delete Contrato","tests.contrato","2026-09-08","failed","2026-09-08","TestDeleteContrato","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","212","test_endpoint[PUT__grupo-faturamento_grupoFaturamentoId_faixa-faturamento_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","212","test_endpoint[DELETE__grupo-area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","232","test_endpoint[GET__familia_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Aviso by ID.","199","Get Aviso by ID","tests.avisos","2026-09-08","skipped","2026-09-08","TestGetAvisosById","test_get_by_id","",""
"Test one endpoint (one test per endpoint via parametrize ids).","194","test_endpoint[PUT__familia_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","204","test_endpoint[PUT__grupo-area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","249","test_endpoint[GET__objeto-analise-tipo-especifico]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test updating Classificacao Colaborador.","434","Update Classificacao Colaborador","tests.classificacao_colaborador","2026-09-08","failed","2026-09-08","TestUpdateClassificacaoColaborador","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","178","test_endpoint[GET__contratante_id_grupo-area]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","280","test_endpoint[GET__perfil-acesso_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Contratos.","214","Get all Contratos","tests.contrato","2026-09-08","passed","2026-09-08","TestGetAllContrato","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","207","test_endpoint[POST__grupo-faturamento_grupoFaturamentoId_faixa-faturamento]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test creating an event.","215","Create Event","tests","2026-09-08","failed","2026-09-08","TestEvents","test_events","",""
"Test one endpoint (one test per endpoint via parametrize ids).","219","test_endpoint[GET__suporte_cartilha_download_pasta]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","199","test_endpoint[POST__classificacao-colaborador]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","206","test_endpoint[GET__sub-familia_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","300","test_endpoint[GET__contrato_id_contratada_contratada_id_operadores]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test updating Contratada.","394","Update Contratada","tests.contratada","2026-09-08","failed","2026-09-08","TestUpdateContratada","test_update","",""
"Test getting Operadores da Contratada do Contrato.","434","Get Operadores da Contratada do Contrato","tests.contrato","2026-09-08","failed","2026-09-08","TestGetContratoOperadores","test_get_operadores","",""
"Test one endpoint (one test per endpoint via parametrize ids).","272","test_endpoint[GET__objeto-analise-tipo-especifico_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Avisos.","195","Get all Avisos","tests.avisos","2026-09-08","skipped","2026-09-08","TestGetAllAvisos","test_get_all","",""
"Test deleting Classificacao Colaborador.","421","Delete Classificacao Colaborador","tests.classificacao_colaborador","2026-09-08","failed","2026-09-08","TestDeleteClassificacaoColaborador","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","220","test_endpoint[GET__unidade-contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","210","test_endpoint[GET__grupo-area_id_grupo-faturamento]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
